verse_number,text,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral,dominant_score
1,கொன்றை வேந்தன் செல்வன் அடியினை,0.5810182,0.5837319,0.55242836,0.5093963,0.56643885,0.5309428,0.6469865,0.5075596,0.59649694,0.5425931,authority.virtue,0.6469865
2,என்றும் ஏத்தித் தொழுவோம் யாமே.,0.46168515,0.3552215,0.35155576,0.31445014,0.3709097,0.32063386,0.3917362,0.3346014,0.52419174,0.35576767,sanctity.virtue,0.52419174
3,அன்னையும் பிதாவும் முன்னறி தெய்வம்.,0.34755796,0.20239173,0.28209215,0.21774781,0.30959177,0.16965352,0.36793208,0.1489004,0.37975127,0.21248478,sanctity.virtue,0.37975127
4,ஆலயம் தொழுவது சாலவும் நன்று.,0.18377864,0.02912073,0.053004567,0.011402197,0.0464994,0.035269585,0.08811551,0.01947038,0.25407928,0.030765787,sanctity.virtue,0.25407928
5,இல்லறம் அல்லது நல்லறம் அன்று.,0.4452474,0.3357449,0.39271095,0.3892588,0.37755617,0.38999775,0.37263796,0.42429858,0.47326472,0.3902453,sanctity.virtue,0.47326472
6,ஈயார் தேட்டை தீயார் கொள்வர்.,0.40513963,0.45168823,0.43235427,0.466969,0.42648202,0.43187433,0.43308377,0.39508814,0.4463179,0.4745314,sanctity.vice,0.4745314
7,உண்டி சுருங்குதல் பெண்டிர்க்கு அழகு.,0.18621033,0.1307702,0.10650488,0.14060862,0.15666285,0.09125445,0.15091343,0.096091874,0.17599082,0.18666151,sanctity.vice,0.18666151
8,ஊருடன் பகைக்கின் வேருடன் கெடும்.,0.5185813,0.62156475,0.5547439,0.5124364,0.60237926,0.5819457,0.51801085,0.63586044,0.5145389,0.5825457,authority.vice,0.63586044
9,எண்ணும் எழுத்தும் கண் எனத் தகும்.,0.40765256,0.4202969,0.43976974,0.4170318,0.4486306,0.34098524,0.46894312,0.35361737,0.421685,0.4228305,authority.virtue,0.46894312
10,ஏவா மக்கள் மூவா மருந்து.,0.24848422,0.2220602,0.20624155,0.2958933,0.2883009,0.264488,0.26191723,0.23578501,0.297443,0.34136245,sanctity.vice,0.34136245
11,ஐயம் புகினும் செய்வன செய்.,0.53048503,0.524904,0.57721883,0.5660336,0.5431536,0.5511716,0.54387295,0.5263101,0.54483545,0.5224616,fairness.virtue,0.57721883
12,ஒருவனைப் பற்றி ஒரகத்து இரு.,0.3497141,0.31996676,0.34124655,0.29981405,0.27568468,0.33057854,0.29603076,0.3382441,0.31920618,0.29870808,care.virtue,0.3497141
13,ஓதலின் நன்றே வேதியர்க்கு ஒழுக்கம்.,0.40371507,0.39562175,0.4307984,0.36684883,0.3897482,0.373496,0.5020274,0.35720342,0.49979094,0.4365359,authority.virtue,0.5020274
14,ஔவியம் பேசுதல் ஆக்கத்திற்கு அழிவு.,0.44521603,0.63593876,0.5590509,0.63100183,0.5808147,0.6356361,0.5325524,0.70068884,0.54248476,0.67645013,authority.vice,0.70068884
15,அஃகமும் காசும் சிக்கெனத் தேடு.,0.4084716,0.41397393,0.4049934,0.5153002,0.42273784,0.46498424,0.40283698,0.43185234,0.42404532,0.5048616,fairness.vice,0.5153002
16,கற்பெனப்படுவது சொல் திறம்பாமை.,0.51178324,0.5588074,0.539981,0.546849,0.5208047,0.5349354,0.53714526,0.5456438,0.6116065,0.6048397,sanctity.virtue,0.6116065
17,காவல்தானே பாவையர்க்கு அழகு.,0.39765605,0.22711238,0.24496268,0.25268617,0.21495235,0.23322669,0.32850087,0.20568143,0.33043957,0.25739777,care.virtue,0.39765605
18,கிட்டாதாயின் வெட்டென மற.,0.50124526,0.56947327,0.53604037,0.5752307,0.5434706,0.55113643,0.5150856,0.5762642,0.5757278,0.62527233,sanctity.vice,0.62527233
19,கீழோர் ஆயினும் தாழ உரை.,0.46709424,0.49479097,0.50774944,0.469183,0.49060106,0.47692645,0.5084599,0.5478043,0.5090899,0.5385388,authority.vice,0.5478043
20,குற்றம் பார்க்கில் சுற்றம் இல்லை.,0.38716257,0.35916954,0.44089746,0.35923404,0.35632986,0.34605718,0.37828708,0.35527784,0.37863952,0.36749876,fairness.virtue,0.44089746
21,கூர் அம்பு ஆயினும் வீரியம் பேசேல்.,0.4064206,0.49351537,0.45133063,0.39529568,0.4763004,0.45905453,0.4282496,0.52607566,0.46088445,0.4832953,authority.vice,0.52607566
22,கெடுவது செய்யின் விடுவது கருமம்.,0.49231908,0.5703457,0.4760564,0.502408,0.5050115,0.45707834,0.5130029,0.40571386,0.5388099,0.6340849,sanctity.vice,0.6340849
23,கேட்டில் உறுதி கூட்டும் உடைமை.,0.5568113,0.52963793,0.5561383,0.51396215,0.645818,0.46315566,0.59569305,0.45675206,0.5640347,0.55977446,loyalty.virtue,0.645818
24,கைப் பொருள் தன்னின் மெய்ப்பொருள் கல்வி.,0.42938095,0.42805216,0.3932535,0.43089455,0.38308454,0.41699573,0.47863826,0.38559788,0.4702323,0.41129163,authority.virtue,0.47863826
25,கொற்றவன் அறிதல் உற்ற இடத்து உதவி.,0.61217076,0.43355137,0.46025783,0.36505333,0.4742583,0.3897962,0.5022445,0.37007725,0.5041881,0.4162743,care.virtue,0.61217076
26,கோள் செவிக் குறளை காற்றுடன் நெருப்பு.,0.40297395,0.49162126,0.43205854,0.4494055,0.45114136,0.43647096,0.4645093,0.4785335,0.48877975,0.5923813,sanctity.vice,0.5923813
27,கௌவை சொல்லின் எவ்வருக்கும் பகை.,0.3946288,0.46742192,0.4568459,0.44162798,0.44612196,0.4892702,0.4133073,0.5410512,0.42898357,0.48790118,authority.vice,0.5410512
28,சந்நதிக்கு அழகு வந்தி செய்யாமை.,0.29315424,0.29134196,0.28178495,0.28868538,0.26205087,0.24192424,0.28061375,0.30128762,0.36942607,0.34611267,sanctity.virtue,0.36942607
29,சான்றோர் என்கை ஈன்றோர்க்கு அழகு.,0.50281954,0.38468218,0.440365,0.41515157,0.4475675,0.39250058,0.481895,0.37850627,0.56373245,0.43219396,sanctity.virtue,0.56373245
30,சினத்தைப் பேணின் தவத்திற்கு அழகு.,0.33642906,0.27979967,0.23413676,0.27004176,0.22173281,0.2333441,0.29752162,0.21668828,0.39303738,0.32558686,sanctity.virtue,0.39303738
31,சீரைத் தேடின் ஏரைத் தேடு.,0.50206,0.46036586,0.4999516,0.51414543,0.4798361,0.46971494,0.48976687,0.47085208,0.5184481,0.5416587,sanctity.vice,0.5416587
32,சுற்றத்திற்கு அழகு சூழ இருத்தல்.,0.27650446,0.2342095,0.22897601,0.26250458,0.2672925,0.23593566,0.28790036,0.2577209,0.27657875,0.2846502,authority.virtue,0.28790036
33,சூதும் வாதும் வேதனை செய்யும்.,0.21551931,0.3646332,0.30645272,0.33820176,0.29283458,0.3305841,0.2342996,0.32798368,0.2513209,0.35720724,care.vice,0.3646332
34,செய்தவம் மறந்தால் கைதவம் ஆளும்.,0.5247926,0.47215152,0.51481354,0.5392138,0.4761318,0.47049132,0.5691545,0.49377352,0.5296416,0.50085187,authority.virtue,0.5691545
35,சேமம் புகினும் யாமத்து உறங்கு.,0.3282116,0.32879364,0.27039683,0.27039927,0.28445715,0.2279208,0.3034316,0.21408549,0.36576584,0.39265177,sanctity.vice,0.39265177
36,சை ஒத்து இருந்தால் ஐயம் இட்டு உண்.,0.52216226,0.47215033,0.56047493,0.5336083,0.5883302,0.48099703,0.4941048,0.50126773,0.5098522,0.52939916,loyalty.virtue,0.5883302
37,சொக்கர் என்பவர் அத்தம் பெறுவர்.,0.32916042,0.3505864,0.32755917,0.3986042,0.35189605,0.34553644,0.3547255,0.30368787,0.36475247,0.42433774,sanctity.vice,0.42433774
38,சோம்பர் என்பவர் தேம்பித் திரிவர்.,0.30843648,0.30810732,0.26893455,0.353651,0.29303187,0.32399744,0.3013049,0.2820934,0.34448197,0.40274125,sanctity.vice,0.40274125
39,தந்தை சொல் மிக்க மந்திரம் இல்லை.,0.32363808,0.26115268,0.27126336,0.23831478,0.2568584,0.2524522,0.30579227,0.26148143,0.38164368,0.2586567,sanctity.virtue,0.38164368
40,தாயிற் சிறந்ததொரு கோயிலும் இல்லை.,0.12408046,0.06751123,0.057393473,0.021323085,0.06351584,0.08383192,0.092634425,0.061494853,0.16949368,0.033961356,sanctity.virtue,0.16949368
41,திரைகடல் ஓடியும் திரவியம் தேடு.,0.27038226,0.23350748,0.20752172,0.2660216,0.16809386,0.24336304,0.21745893,0.26061875,0.31476754,0.33219928,sanctity.vice,0.33219928
42,தீராக் கோபம் போராய் முடியும்.,0.42173725,0.4750973,0.5182969,0.43381792,0.4724998,0.51585704,0.41976577,0.5870023,0.41244984,0.43657252,authority.vice,0.5870023
43,துடியாப் பெண்டிர் மடியில் நெருப்பு.,0.17643307,0.25646383,0.13619198,0.22814229,0.15906839,0.20191395,0.2086232,0.1799452,0.22117355,0.2757429,sanctity.vice,0.2757429
44,தூற்றும் பெண்டிர் கூற்று எனத் தகும்.,0.4559576,0.49026316,0.5374478,0.46095628,0.503508,0.43398464,0.47720155,0.4068696,0.51785856,0.49592954,fairness.virtue,0.5374478
45,தெய்வம் சீறின் கைத்தவம் மாளும்.,0.43272883,0.3567537,0.33422083,0.34668672,0.3275834,0.32491845,0.42415565,0.28437257,0.47623497,0.37169412,sanctity.virtue,0.47623497
46,தேடாது அழிக்கின் பாடாய் முடியும்.,0.54653347,0.59327847,0.60432625,0.5976795,0.5769671,0.57088476,0.5465735,0.56922257,0.5697219,0.61916935,sanctity.vice,0.61916935
47,தையும் மாசியும் வையகத்து உறங்கு.,0.4261319,0.39958626,0.37820274,0.4303361,0.46206918,0.39588153,0.4319732,0.3692165,0.47471792,0.46662837,sanctity.virtue,0.47471792
48,தொழுதூண் சுவையின் உழுதூண் இனிது.,0.271917,0.19359171,0.15888962,0.1781747,0.19906396,0.1394479,0.21051,0.16600195,0.2733949,0.27825266,sanctity.vice,0.27825266
49,தோழனோடும் ஏழைமை பேசேல்.,0.36031878,0.27842975,0.28233021,0.2618007,0.32273078,0.30209368,0.23839036,0.30812654,0.28889608,0.26526535,care.virtue,0.36031878
50,நல்லிணக்கம் அல்லல் படுத்தும்.,0.37641406,0.32479677,0.3557272,0.3178668,0.37844703,0.35680664,0.31259543,0.44804707,0.34768555,0.3077218,authority.vice,0.44804707
51,நாடெங்கும் வாழக் கேடொன்றும் இல்லை.,0.4204717,0.39427447,0.35231367,0.32968074,0.3829873,0.36909837,0.37500077,0.38752198,0.41468847,0.40241486,care.virtue,0.4204717
52,நிற்கக் கற்றல் சொல் திறம்பாமை.,0.33515012,0.3736722,0.3899975,0.3548574,0.3619985,0.35453516,0.34293383,0.40966612,0.35013813,0.37224007,authority.vice,0.40966612
53,நீரகம் பொருந்திய ஊரகத்து இரு.,0.27595437,0.19107759,0.21275449,0.21393485,0.21974656,0.20620526,0.20314716,0.22415724,0.26586154,0.25676402,care.virtue,0.27595437
54,நுண்ணிய கருமமும் எண்ணித் துணி.,0.41012782,0.45572007,0.35640788,0.40323475,0.44014323,0.37422565,0.41923654,0.34043214,0.44328767,0.47467092,sanctity.vice,0.47467092
55,நூல்முறை தெரிந்து சீலத்து ஒழுகு.,0.49119705,0.49746126,0.46078837,0.46888345,0.49152082,0.43825048,0.53787565,0.42565137,0.5471344,0.55440295,sanctity.vice,0.55440295
56,நெஞ்சை ஒளித்து ஒரு வஞ்சகம் இல்லை.,0.4516565,0.47094673,0.46312267,0.5056224,0.43509007,0.5376135,0.4191965,0.50366676,0.49072462,0.4529623,loyalty.vice,0.5376135
57,நேரா நோன்பு சீராகாது.,0.2923448,0.30024558,0.27965224,0.33683062,0.28748792,0.30860645,0.3154106,0.3546391,0.34872502,0.35268408,authority.vice,0.3546391
58,நைபவர் எனினும் நொய்ய உரையேல்.,0.5255194,0.55702865,0.5248204,0.5257056,0.5542866,0.48949522,0.5538712,0.5113143,0.5882487,0.60908926,sanctity.vice,0.60908926
59,நொய்யவர் என்பவர் வெய்யவர் ஆவர்.,0.32284617,0.35641503,0.28252718,0.29966152,0.31381452,0.2731048,0.305856,0.25527513,0.35917145,0.3632305,sanctity.vice,0.3632305
60,நோன்பு என்பதுவே (? என்பது) கொன்று தின்னாமை.,0.2869712,0.4037142,0.26819974,0.323556,0.3155266,0.32572788,0.2978787,0.34230965,0.38685048,0.40368032,care.vice,0.4037142
61,பண்ணிய பயிரில் புண்ணியம் தெரியும்.,0.42555067,0.2783312,0.30294594,0.21101266,0.29131222,0.18593578,0.31851733,0.15897802,0.37302583,0.25113094,care.virtue,0.42555067
62,பாலோடு ஆயினும் காலம் அறிந்து உண்.,0.3412915,0.2747121,0.25239807,0.23850882,0.30531636,0.1791093,0.2762826,0.23408169,0.31375673,0.30904484,care.virtue,0.3412915
63,பிறன் மனை புகாமை அறம் எனத் தகும்.,0.4762017,0.36500764,0.42016426,0.36939391,0.39326763,0.3401666,0.43908232,0.30962652,0.47644895,0.41912606,sanctity.virtue,0.47644895
