paragraph_num,text,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral_lexicon,dominant_score_lexicon
1,"ಸ್ತ್ರೀ ನೀತಿ ಕಥೆಗಳು
ಪುರಾತನ ಕಾಲದಲ್ಲಿ ಗೋಪಾಲಸೆ ಟ್ಟ ಎಂಬೊಬ್ಬ ವ್ಯಾಪಾರಿಯು
ಕಾಶಿ ರ ನಗರದಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದರು. ಶೇಮಂತನಾದ ವರ್ತಕನಿಗೆ
ಮೋಹಿನಿಯೊಬ್ಬ ಳೇ ಮಗಳು. ರೊಪ ಸುಂದರಿಯಾದ ಮೋಹಿನಿಯು
ಓದುಬರಹದಲ್ಲೂ ಅಕಿ ನಿಪುಣಳು. ಅವಳು ವಯಸ್ಸಿಗೆ...",0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.00684931506849315,care.virtue,1
2,"ಘಿ ಸ್ತ್ರೀ ನೀತಿ ಕಥೆಗಳು
ಕೇಳಿದನು. ಅವಳು ಮುಖ ತಗ್ಗಿಸ್ಕಿ, “ಅದು ರಹಸ್ಯ ಸಂಗತಿ.
ಹೇಳಲಾರೆ. ಸಂದರ್ಭ ದೊರಕಿದಾಗ ನಾನೇ ವಿವರಿಸುತ್ತೇನೆ”
ಹೇಳಿದಳು, ದಿವಸಗಳು ಉರುಳಿದ ಮೋಹಿನಿಯು
ರಾತ್ರಿ ತನ್ನ ದಾಸಿಯನ್ನು ತನ್ನ ಮಂಚದ ಮಲಗಿಸಿದಳು,
ತಾನು ಪುರುಷ...",0.006666666666666667,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,care.vice,2
3,"ಶ್ರೀ ಕೀತಿ: ಕಥೆಗಳು a
ನೋಹಿನಿಯು “ವೈದ್ಯಶ್ರೇಷ್ಠನೇ! ಪ್ರಸಂಗವೇನೆಂದು
ತಿಳಿಸಿ ಉಪಕಾರ ಮಾಡಿರಿ” ಕೇಳಿದಳು. ಮೋಹನದಾಸನು ಒಪ್ಪಿ
ಇಂತೆಂದನು, “ನಾನು ತರುಣನಿದ್ದಾಗ ಧರ್ಮಪುರವೆಂಬ ನಗರದಲ್ಲಿ ಸ್ಪಲ್ಪ
ಕಾಲದ ವರೆಗೆ ವಾಸಿಸುತಿದ್ದೆ. ಅಲ್ಲಿ ನೆರೆದ ರ...",0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,care.virtue,1
4,"ಲ ಸ್ತ್ರೀ ನೀತಿ ಕಥೆಗಳು
ಅದರಿಂದ ಸ್ವಲ್ಪ ಸಮಾಧಾನ ಪಟ್ಟು ಮರಳಿದೆ. ರಾತ್ರಿ
ನಾಲಿಗೆಗೆ ಊಟವು ರುಚಿಸಲಿಲ್ಲ. ಕಣ್ಣಿಗೆ ನಿದ್ದೆ ಹತ್ತಲಿಲ್ಲ. ರಾತ್ರಿಯಿಡೀ
ಕೋಮಲಾಂಗಿಯನ್ನೇ ಚಿಂತಿಸುತ್ತಿದ್ದೆ. ಬೆಳಗಾದ ನಿತ್ಯ ವಿಧಿ
ಗಳನ್ನು ತೀರಿಸಿ ದಿವ್ಯಾಲಂಕೃತ...",0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,care.virtue,1
5,"ಸ್ತ್ರೀ ನೀತಿ ಕಥೆಗಳು ೫
ಸಲ ದೇವರ ದರ್ಶನಕ್ಕೆ ಬರತೊಡಗಿದಳು. ಅವಳೊಂದಿಗೆ ದಾಸಿಯು
ಇರುತ್ತಿದ್ದು ದರಿಂದ ಮಾತನಾಡಲು ಅವಕಾಶವೇ ಸಿಗಲಿಲ್ಲ,
ಅವಳ ದರ್ಶನಲಾಭ ಲಭಿಸುತ್ತಿತ್ತು. ಅನೇಕ ದಿನಗಳು
ಉರುಳಿದವು. ಇಬ್ಬರೂ ಕಾಮವಿಕಾರದಿಂದ ಬಳಲತೊಡಗಿದೆವು. ಅವಳ...",0.0125,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,care.virtue,2
6,"& ಸ್ತ್ರೀ ನೀತಿ ಕಥೆಗಳು
ಅವನನ್ನೂ ನಿನ್ನ ಅಕ್ಕನನ್ನೂ ಕೊಂದು ಮನೆಯ ಹಿಂಬದಿ ಹುದುಗಿಸಿದನು.
ತನ್ನ ಹೆಂಡತಿ ತವರು ಮನೆಗೆ ತೆರಳಿರುವಳೆಂದು ಸುದ್ದಿ ಬೀರಿದನು, ಸ್ವಲ್ಪ
ದಿನಗಳಾದ ಮೇಲೆ, ತವರು ಮನೆಗೆ ತೆರಳಿದವಳು ಅಲ್ಲೇ ಮರಣ ಹೊಂದಿ
ದಳೆಂದು ನುಡಿದನ...",0.012903225806451613,0.012903225806451613,0.0,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,care.virtue,2
7,"ಸ್ತ್ರೀ ನೀತಿ ಕಥೆಗಳು ತ್‌
""ಆ ದಾಸಿಯೊಡನೆ “ಅಮ್ಮಾ, ಹಸಿನೆಯಾಗಿರುವುದೇನೋ ನಿಜ.
ಇಷ್ಟವಿದ್ದ ಆಹಾರ ಕೊಟ್ಟರೆ ಊಟ ಮಾಡುತ್ತೇನೆ, ಊಟವು
ಸಿದ್ಧನಿದೆ ಎಂದೂ ನನಗೂ ಗೊತ್ತಿದೆ, ಅನುಕೂಲ ಸ್ಥಳ
ಇಲ್ಲವಲ್ಲ” ಹೇಳಿದೆ, ಮಾತನ್ನು ಗ್ರಹಿಸಿದ
ದಾಸಿಯು “ಸ್ವಾಮ...",0.014814814814814815,0.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,care.virtue,2
8,"ಇ ಸ್ತ್ರೀ ನೀತಿ ಕಥೆಗಳು
ಅವನು ಮಾಡಿದ? ಪಶ್ಚಾತ್ತಾಪ ಪಡಲು ಕಾರಣವೇನು?''
ಪ್ರಶ್ನಿ ಸಿದೆನು. “ಅದನ್ನು ಕೇಳಲು ಇಷ್ಟವಿದ್ದರೆ ಹೇಳುತ್ತೇನೆ''
ದಾಸಿಯು ಅನೊರಚಂದನ ಕಥೆಯನ್ನು ಹೇಳತೊಡಗಿದಳು.
೨. ಅನೂರಚಂದನ ಕಥೆ
ಹಿಂದೆ ಗೋಪಾಲಪುರದಲ್ಲಿ ಒಬ್ಬ ವರ್ತಕ...",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,sanctity.virtue,1
9,"ಸ್ತ್ರೀ ನೀತಿ ಕಥೆಗಳು ೯
ಕೊಂಡು ಬರುತಿದ್ದನು, ಅವನೊಂದು ಅಂಗಡಿಯಲ್ಲಿ ಕುಳಿತಿ
ದ್ದಾ ಗ ಅತ್ಯಂತ ಸುಂದರಿಯಾದ ತರುಣಿಯೊಬ್ಬಳು ಅಂಗಡಿಗೆ 'ಬಂದಳು.
ಜರದ ನೀಠತಾಂಬರ ಬೇಕೆಂದು ನೋಡಶೊಡಗಿದಳು.
ಚಂದನನ ದ ಷ್ಟಿ ಅವಳೆಡೆಗೆ ಹರಿಯಿತು, ೫ ರೂಸರಾಶಿಯನ್ನು
ಹಿ...",0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.0,0.006060606060606061,authority.virtue,1
10,"೧ಂ ಸ್ರೀ ನೀತಿ ಕಥೆಗಳು
ಕೊಂಡು ಅನೇಕ ವರುಷಗಳಾದವು. ಇವಳ ತಾಯಿಯೂ ಇಲ್ಲ, ತಂದೆಯ
ಆಸ್ತಿಗೆಲ್ಲ ಇವಳೇ ಹಕ್ಕುದಾರಳು. ಧೆನಿಕಳು”
ದನು. ಅಮೂೊರಚಂದನು ಅವಳನ್ನೇ ಸ್ಮರಿಸುತ್ತ ರಸ್ತೆಯಲ್ಲಿ ತೆರಳುತ್ತಿದ್ದನು.
ಅಷ್ಟರಲ್ಲಿ ಸುದತಿಯ ದಾಸಿಯು “ಸ್ವಾನೊ/ ಒಡ...",0.006134969325153374,0.0,0.0,0.006134969325153374,0.0,0.0,0.006134969325153374,0.0,0.0,0.0,care.virtue,1
