text,id,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral_lexicon,dominant_score_lexicon
கொன்றை வேந்தன் செல்வன் அடியினை,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
என்றும் ஏத்தித் தொழுவோம் யாமே.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
அன்னையும் பிதாவும் முன்னறி தெய்வம்.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,sanctity.virtue,1
ஆலயம் தொழுவது சாலவும் நன்று.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
இல்லறம் அல்லது நல்லறம் அன்று.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஈயார் தேட்டை தீயார் கொள்வர்.,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
உண்டி சுருங்குதல் பெண்டிர்க்கு அழகு.,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஊருடன் பகைக்கின் வேருடன் கெடும்.,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
எண்ணும் எழுத்தும் கண் எனத் தகும்.,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஏவா மக்கள் மூவா மருந்து.,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,sanctity.vice,1
ஐயம் புகினும் செய்வன செய்.,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஒருவனைப் பற்றி ஒரகத்து இரு.,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஓதலின் நன்றே வேதியர்க்கு ஒழுக்கம்.,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஔவியம் பேசுதல் ஆக்கத்திற்கு அழிவு.,14,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,care.vice,1
அஃகமும் காசும் சிக்கெனத் தேடு.,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கற்பெனப்படுவது சொல் திறம்பாமை.,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
காவல்தானே பாவையர்க்கு அழகு.,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கிட்டாதாயின் வெட்டென மற.,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கீழோர் ஆயினும் தாழ உரை.,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
குற்றம் பார்க்கில் சுற்றம் இல்லை.,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கூர் அம்பு ஆயினும் வீரியம் பேசேல்.,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கெடுவது செய்யின் விடுவது கருமம்.,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கேட்டில் உறுதி கூட்டும் உடைமை.,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கைப் பொருள் தன்னின் மெய்ப்பொருள் கல்வி.,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கொற்றவன் அறிதல் உற்ற இடத்து உதவி.,25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,care.virtue,1
கோள் செவிக் குறளை காற்றுடன் நெருப்பு.,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கௌவை சொல்லின் எவ்வருக்கும் பகை.,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சந்நதிக்கு அழகு வந்தி செய்யாமை.,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சான்றோர் என்கை ஈன்றோர்க்கு அழகு.,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சினத்தைப் பேணின் தவத்திற்கு அழகு.,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சீரைத் தேடின் ஏரைத் தேடு.,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சுற்றத்திற்கு அழகு சூழ இருத்தல்.,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
