kural_number,couplet,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral_lexicon,dominant_score_lexicon
1,அகர முதல எழுத்தெல்லாம் ஆதி பகவன் முதற்றே உலகு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
2,கற்றதனால் ஆய பயனென்கொல் வாலறிவன் நற்றாள் தொழாஅர் எனின்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
3,மலர்மிசை ஏகினான் மாணடி சேர்ந்தார் நிலமிசை நீடுவாழ் வார்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
4,வேண்டுதல் வேண்டாமை இலானடி சேர்ந்தார்க்கு யாண்டும் இடும்பை இல.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
5,இருள்சேர் இருவினையும் சேரா இறைவன் பொருள்சேர் புகழ்புரிந்தார் மாட்டு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,sanctity.virtue,1
6,பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க நெறிநின்றார் நீடுவாழ் வார்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
7,தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால் மனக்கவலை மாற்றல் அரிது.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
8,அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால் பிறவாழி நீந்தல் அரிது.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
9,கோளில் பொறியின் குணமிலவே எண்குணத்தான் தாளை வணங்காத் தலை.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
10,பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார் இறைவன் அடிசேரா தார்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,sanctity.virtue,1
11,வான்நின்று உலகம் வழங்கி வருதலால் தான்அமிழ்தம் என்றுணரற் பாற்று.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
12,துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத் துப்பாய தூஉம் மழை.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
13,விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து உள்நின்று உடற்றும் பசி.,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,care.vice,1
14,ஏரின் உழாஅர் உழவர் புயல்என்னும் வாரி வளங்குன்றிக் கால்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
15,கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே எடுப்பதூஉம் எல்லாம் மழை.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
16,விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே பசும்புல் தலைகாண்பு அரிது.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
17,நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி தான்நல்கா தாகி விடின்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
18,சிறப்பொடு பூசனை செல்லாது வானம் வறக்குமேல் வானோர்க்கும் ஈண்டு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
19,தானம் தவம்இரண்டும் தங்கா வியன்உலகம் வானம் வழங்கா தெனின்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
20,நீர்இன்று அமையாது உலகெனின் யார்யார்க்கும் வான்இன்று அமையாது ஒழுக்கு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
21,ஒழுக்கத்து நீத்தார் பெருமை விழுப்பத்து வேண்டும் பனுவல் துணிவு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
22,துறந்தார் பெருமை துணைக்கூறின் வையத்து இறந்தாரை எண்ணிக்கொண் டற்று.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
23,இருமை வகைதெரிந்து ஈண்டுஅறம் பூண்டார் பெருமை பிறங்கிற்று உலகு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
24,உரனென்னும் தோட்டியான் ஓரைந்தும் காப்பான் வரனென்னும் வைப்பிற்கோர் வித்து.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
25,ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான் இந்திரனே சாலுங் கரி.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
26,செயற்கரிய செய்வார் பெரியர் சிறியர் செயற்கரிய செய்கலா தார்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
27,சுவைஒளி ஊறுஓசை நாற்றமென ஐந்தின் வகைதெரிவான் கட்டே உலகு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
