Para_ID,Text,Emb_1st,Emb_2nd,Emb_3rd,Lex_1st,Lex_2nd,Lex_3rd
1-janapada-kathegalu-P81,"ಕಾಲ ಬಂದಾಗ ಬರೋಣ 81
ಇನ್ನೊಂದು ಪಟ್ಟದ ದೊರೆ; ದೊರೆ ಮಗಳು ಯಾರು ಬಂದ್ರೂ ಒಪ್ಪಲ್ಲಾ.
ಸೀಮೆ ದೊರೆ ಬಂದ್ರೂ ಒಪ್ಪಲ್ಲ. ಆನೆ ಯಾರಿಗ್ದೋಗಿ ಹಾರ ಆಕ್ತದೇ ನೋಡು.
ಅವರನ್ನ ಮದ್ವೆ ಆಯ್ತೀನಿ ಟಾಮ್‌ ಟಾಮ್‌ ಹೊಡಿಸಿದ್ದು. ಟಾಮ್‌
ಟಾಮ್‌ ಮಾಡಿಸೂತ್ಲೂವೇ ಸ...",authority.virtue (0.486),sanctity.virtue (0.476),care.virtue (0.444),care.virtue (0.022),authority.virtue (0.009),sanctity.virtue (0.004)
1-janapada-kathegalu-P16,"16 ಜನಪದ ಕಥೆಗಳು
ಮಾತು ಕೇಳಿದ ಮ್ಯಾಲೆ ರೂಮಿನತ್ರಕ್ಕೆ' ಬಂದ್ಳು. ರೂಮಿನತ್ರ
ಬಂದಾಗ ಬಾಗ್ಲು ತೆಗೀತಾಳೆ. ಬಾಗ್ಲು ತೆಗೆದಾಗ ""ಆ' ಬಂದ್ಬಿಡ್ತದೆ, ಏಡಿಗಾಯಿ
ನುಂಗಕೆ ಆಯಮ್ಮನ್ನ. ಅವಾಗ ಒಂದ್ಹಿಡಿ ಮರಳ ಎಸೆದ್‌ ಬಿಡ್ತಾಳೆ. ಒಂದ್ಹಿ ಡಿ ಮರಳು
ಎಸೆದಾಗ...",sanctity.virtue (0.510),authority.virtue (0.499),sanctity.vice (0.458),care.virtue (0.012),sanctity.virtue (0.012),authority.virtue (0.004)
1-janapada-kathegalu-P183,"ಗಂಡ ಹೆಂಡತಿ 183
ಮಾಡ್ಬ? ""ನಾನಿರೋಕಿಲ್ಲ, ಸಂತೆಗೋಗ್ತೀನಿ. ನಂಗೆ ಬುತ್ತಿ ಕಟ್ಟು. ಗಂಡ ಕೇಳ್ದ.
ಗಂಡ ಕೇಳೊಹೊತ್ಸೆ ಇವ್ಳೇನು ಮಾಡಿದ್ದು? ಅನ್ನ ಮಾಡಿ, ಚಪಾತಿ ಮಾಡಿ, ಬುತ್ತಿ ಕಟ್ಟಿದ್ದು.
ಮನೆ ಹಿಂದೆ ಬೇವಿನಮರ, ಬೇಎನ ಮರದಾಗೇ ಬುತ್ತಿ ಸಹಿತ
ಕುತ...",sanctity.virtue (0.273),care.virtue (0.240),sanctity.vice (0.205),loyalty.virtue (0.004),care.virtue (0.000),care.vice (0.000)
1-janapada-kathegalu-P160,"160 ಜನಪದ ಕಥೆಗಳು t
ಕೇಳಿದ್ದುಲ್ಲ. ಹೆಂಗಪ್ಪ ?' - ಕೇಳಿದ್ರು. ""ಸ್ವಾಮಿ ಗಂಡಮಕ್ಳು ಎರಕನದು ಎಲ್ಲು
ಕೇಳಿಲ್ಲ. ತಂದಿಗೆ ಮೂವರು ಮಕ್ಳು. ಮೂವರು ಮಕ್ಕೊಳಗೆ ಇಬ್ರಿಗೆ ಹಿಸ್ಕಾಕೊಟ್ರು.
ನನ್ನೊಬ್ಬಿಗೆ ನಮ್‌ ತಂದೆತಾಯಿ ಮಾತ್‌ ಸಾಕೂಂತ ಹೇಳಿಕೊಟ್ರು'...",sanctity.virtue (0.552),care.virtue (0.536),authority.virtue (0.532),care.virtue (0.010),authority.virtue (0.010),loyalty.virtue (0.005)
1-janapada-kathegalu-P148,"148 ಜನಪದ ಕಥೆಗಳು
ನಿನಿಗೆ ಯಾರೂ ಇಲ್ಲವೇನಪ್ಪಾ ? """"ನಮ್ಮನೇಲಿ ಒಪ್ಪತ್ತು ಉಣ್ಣೊಂತೆ ನಡಿಯಪ್ಪ. ““ಸರಿ
ಆಗಲಮ್ಮ''. ಈಕೆ ಬರ್ರಾಯಿದ್ದಾಳೆ. ಅದರಿಂದ್ಲಡೆ ಇವನು ಬರ್ರಾಯಿದಾನೆ.
ಹೆಣ್ಣಿನ ತಂದೆ ಘನ ಪುಣ್ಯವಂತ ಮನೆಮುಂದ್ಗಡೆ ಮಂಚದಮ್ಮಾಲೆ ಕಾಲಮ್ಯಾಲ...",sanctity.virtue (0.490),care.virtue (0.465),authority.virtue (0.432),care.virtue (0.017),authority.virtue (0.009),sanctity.vice (0.004)
1-janapada-kathegalu-P102,"102 ಜನಪದ ಕಥೆಗಳು
ರಾಜ ಏನ್ಮಾಡ್ಬಿಟ್ಟ ? ಎಲೆಲೆ ಈಟ್‌ತನ್ಯ ಹೊಡ್ಡಿರ್ಲಿಲ್ಲ ಹುಲಿಯಾ. ಇವತ್ತು
ಹೊಡಿದ್ದಲ್ಲ ಅಂತ, ಮಡಿವಾಳ ಶೆಟ್ಟಿಗೆ ಮದ್ವೆ ಮಾಡಾತಗ ಹೊರಟ್ರು. ಹೋಗೋವಾಗ
ನಿಮ್ಮಂಥ ಯಜಮಾನ್ರು ವೋಗ್ಮಾ ಇದ್ರು. ವೋಗ್ತಾ ಇರೋವಾಗ ಇನ್ನಾ ಅಲ್ಲಿ, ಎ...",sanctity.virtue (0.435),authority.virtue (0.413),care.virtue (0.396),authority.virtue (0.011),care.virtue (0.007),care.vice (0.000)
1-janapada-kathegalu-P72,"72 ಜನಪದ ಕಥೆಗಳು
ಆವಾಗ ನಾಗೇಂದ್ರ ಪ್ರಾಣಬಿಡುವಾಗ ಇನ್ನೊಂದು ವರ ಹೇಳಿದ್ದಂತೆ:
""""ನೋಡಪ್ಪಾ ನೀನು ಇಲ್ಲಿಂದ ಮನೆಗೋಗ್ಬೆಕಾದ್ರೆ, ಹಣ ಅಷ್ಟ ಐಶ್ವರ್ಯವನ್ನೆಲ್ಲಾ
ಹೊತ್ಕೊಂಡುಹೋಗ್ಬೇಕಾದ್ರೆ, ನೀನು ಇರತಕ್ಕಂಥ ಗುಡಿಸ್ಲುಮನೆ ಹೋಗ್ಲೀ,
ಅರಮನೆಯಾಗ್ಲೀ ...",sanctity.virtue (0.561),authority.virtue (0.527),care.virtue (0.520),care.virtue (0.031),care.vice (0.000),fairness.virtue (0.000)
2-neeti-kathegalu-P173,"೪೧. ಜಯುಸೇನನ ಕಥೆ
ಅಜಿತರಾಜನ ಜ್ಯೇಷ್ಮಪುತ್ರನಾದ ಜಯಸೇನನು ನಗರದಲ್ಲೇ
ಅಂಗಡಿ ತೆರೆದು ವ್ಯಾ , ಪಾಕೋಡ್ಯಮಗಳ ಳನ್ನು ಆರಂಭಿ ಸಿದ್ಧ ಕಪ್ಪೆ.
ಅದರೆ' ವಿದೇಶಕ್ಕೆ ತೆರಳಿದರೆ ಅಪರಿಮಿತ ಲಾಭನು 'ಕುತತೊದು' ಹ
ಗಂಡು ತೇ ವಸು ಸಿಗಳನ್ನು ಕೊಂಡುಕೊಂಡನು. ಸ...",authority.virtue (0.494),loyalty.virtue (0.452),sanctity.virtue (0.448),fairness.vice (0.013),care.virtue (0.006),care.vice (0.006)
1-janapada-kathegalu-P60,"60 ಜನಪದ ಕಥೆಗಳು
ತಿನ್ಬೇಕು ಹೇಳಿದರು. ನೀನು ಇನ್ನೇನು ಅತ್ರಕ್ಕೆ ಬರೋವಾಗ್ಗೆ ನಿಂಬೆಹಣ್ಣು ಅಕ್ಕು.
ನಿಂಬೆಹಣ್ಣು ಪೊದೆ ಆತದೇ. ಅದನ್ನ ಆಕಾಶದವರ್ಲೂ ಹೆಣಕ್ಕೊಂಬಿಡ್ತದೆ. ಅದನ್ನ ತಪ್ಪಿಸ್ಕೊ
ಬರೋವಾಗ್ಗೆ ಇನ್ನೊಂದು ಯೋಜ್ನ ಬತ್ತೀಯಾ. ಇನ್ನೊಂದು ಯೋ...",sanctity.virtue (0.467),authority.virtue (0.411),care.virtue (0.401),care.virtue (0.005),care.vice (0.000),fairness.virtue (0.000)
2-neeti-kathegalu-P206,"೨೦೬ ಸ್ತ್ರೀ ನೀತಿ ಕಥೆಗಳು
ನಾಗು ನವನು ದೇವದೂತನೆಂದೂ ಅವನನ್ನು ತಾನು ಪ್ರತ್ಯಕ್ಷ ಕಂಡಿರುವೆ
ನೆಂದೂ ನುಡಿದನು. ರಾಜ ಸಭೆಯಲ್ಲಿದ್ದ ಅನನ ಮಂತ್ರಿಗಳಲ್ಲಿ ಅನೇಕರು
ಮಾತನ್ನು ನಂಬಲಿಲ್ಲ. ರಾಜನಿಗೆ ಬೆದರಿ ಬಹಿರಂಗವಾಗಿ
ಹೇಳುತಿದ್ದಿ ಲ್ಲ.
ಕಾಲ ಕಳೆಯಿ...",sanctity.virtue (0.503),authority.virtue (0.488),authority.vice (0.423),authority.virtue (0.020),loyalty.virtue (0.013),care.virtue (0.000)
