text,id,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral_lexicon,dominant_score_lexicon
ஆத்தி சூடி அமர்ந்த தேவனை,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஏத்தி ஏத்தித் தொழுவோம் யாமே.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
அறம் செய விரும்பு.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,sanctity.virtue,1
ஆறுவது சினம்.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
இயல்வது கரவேல்.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஈவது விலக்கேல்.,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
உடையது விளம்பேல்.,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஊக்கமது கைவிடேல்.,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
எண் எழுத்து இகழேல்.,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஏற்பது இகழ்ச்சி.,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஐயம் இட்டு உண்.,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஒப்புரவு ஒழுகு.,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஓதுவது ஒழியேல்.,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஔவியம் பேசேல்.,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
அஃகம் சுருக்கேல்.,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கண்டொன்று சொல்லேல்.,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஙப் போல் வளை.,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சனி நீராடு.,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஞயம்பட உரை.,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
இடம்பட வீடு எடேல்.,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
இணக்கம் அறிந்து இணங்கு.,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
தந்தை தாய்ப் பேண்.,22,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,authority.virtue,1
நன்றி மறவேல்.,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பருவத்தே பயிர் செய்.,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மண் பறித்து உண்ணேல்.,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
இயல்பு அலாதன செய்யேல்.,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
அரவம் ஆட்டேல்.,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
இலவம் பஞ்சில் துயில்.,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
வஞ்சகம் பேசேல்.,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
அழகு அலாதன செய்யேல்.,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
இளமையில் கல்.,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
அரனை மறவேல்.,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
அனந்தல் ஆடேல்.,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கடிவது மற.,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
காப்பது விரதம்.,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கிழமைப்பட வாழ்.,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கீழ்மை அகற்று.,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
குணமது கைவிடேல்.,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கூடிப் பிரியேல்.,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கெடுப்பது ஒழி.,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கேள்வி முயல்.,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கைவினை கரவேல்.,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கொள்ளை விரும்பேல்.,43,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,care.vice,1
கோதாட்டு ஒழி.,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
கௌவை அகற்று.,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சக்கர நெறி நில்.,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சான்றோர் இனத்து இரு.,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சித்திரம் பேசேல்.,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சீர்மை மறவேல்.,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சுளிக்கச் சொல்லேல்.,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சூது விரும்பேல்.,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
செய்வன திருந்தச் செய்.,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சேரிடம் அறிந்து சேர்.,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சையெனத் திரியேல்.,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சொற் சோர்வு படேல்.,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
சோம்பித் திரியேல்.,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
தக்கோன் எனத் திரி.,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
தானமது விரும்பு.,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
திருமாலுக்கு அடிமை செய்.,59,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,authority.virtue,1
தீவினை அகற்று.,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
துன்பத்திற்கு இடம் கொடேல்.,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
தூக்கி வினை செய்.,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
தெய்வம் இகழேல்.,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,sanctity.virtue,1
தேசத்தோடு ஒட்டி வாழ்.,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
தையல் சொல் கேளேல்.,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
தொன்மை மறவேல்.,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
தோற்பன தொடரேல்.,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நன்மை கடைப்பிடி.,68,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,care.virtue,1
நாடு ஒப்பன செய்.,69,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,loyalty.virtue,1
நிலையில் பிரியேல்.,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நீர் விளையாடேல்.,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நுண்மை நுகரேல்.,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நூல் பல கல்.,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நெற்பயிர் விளைவு செய்.,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நேர்பட ஒழுகு.,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நைவினை நணுகேல்.,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நொய்ய உரையேல்.,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
நோய்க்கு இடம் கொடேல்.,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பழிப்பன பகரேல்.,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பாம்பொடு பழகேல்.,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பிழைபடச் சொல்லேல்.,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பீடு பெற நில்.,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
புகழ்ந்தாரைப் போற்றி வாழ்.,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பூமி திருத்தி உண்.,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பெரியாரைத் துணைக் கொள்.,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பேதைமை அகற்று.,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பையலோடு இணங்கேல்.,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
பொருள்தனைப் போற்றி வாழ்.,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
போர்த் தொழில் புரியேல்.,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மனம் தடுமாறேல்.,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மாற்றானுக்கு இடம் கொடேல்.,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மிகைபடச் சொல்லேல்.,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மீதூண் விரும்பேல்.,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
முனைமுகத்து நில்லேல்.,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மூர்க்கரோடு இணங்கேல்.,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மெல்லி நல்லாள் தோள்சேர்.,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மேன்மக்கள் சொல் கேள்.,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மை விழியார் மனை அகல்.,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மொழிவது அற மொழி.,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
மோகத்தை முனி.,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
வல்லமை பேசேல்.,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
வாது முற்கூறேல்.,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
வித்தை விரும்பு.,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
வீடு பெற நில்.,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
உத்தமனாய் இரு.,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஊருடன் கூடி வாழ்.,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
வெட்டெனப் பேசேல்.,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
வேண்டி வினை செயேல்.,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
வைகறைத் துயில் எழு.,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஒன்னாரைத் தேறேல்.,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
ஓரம் சொல்லேல்.,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
